"","C.Block","number.races","race","percent.pop"
"193","060750202003","1","White",0.748091603053435
"194","060750203001","1","White",0.646086956521739
"195","060750203002","1","White",0.838018741633199
"196","060750203003","1","White",0.763318777292576
"197","060750204011","1","White",0.875313807531381
"198","060750204012","1","White",0.735820895522388
"199","060750204013","1","White",0.777142857142857
"200","060750204021","1","White",0.708388230127361
"201","060750204022","1","White",0.830361966504592
"202","060750205001","1","White",0.895336787564767
"203","060750205002","1","White",0.824029126213592
"204","060750205003","1","White",0.810968494749125
"205","060750206001","1","White",0.75719557195572
"206","060750206002","1","White",0.681503461918892
"207","060750206003","1","White",0.866205305651672
"208","060750206004","1","White",0.863173216885007
"209","060750207001","1","White",0.652542372881356
"210","060750207002","1","White",0.87089715536105
"211","060750207003","1","White",0.731804586241276
"212","060750208001","1","White",0.743002544529262
"213","060750208002","1","White",0.617572692793932
"214","060750208003","1","White",0.681019830028329
"215","060750208004","1","White",0.569546120058565
"216","060750209001","1","White",0.54716073147257
"217","060750209002","1","White",0.536203522504892
"218","060750209003","1","White",0.642954856361149
"219","060750209004","1","White",0.680493273542601
"220","060750210001","1","White",0.671204188481675
"221","060750210002","1","White",0.855155482815057
"222","060750210003","1","White",0.812634601579325
"223","060750210004","1","White",0.600405679513185
"224","060750211001","1","White",0.824654622741764
"225","060750211002","1","White",0.699570815450644
"226","060750211003","1","White",0.85226019845645
"227","060750211004","1","White",0.724649629018961
"228","060750212001","1","White",0.80209545983702
"229","060750212002","1","White",0.836852207293666
"230","060750212003","1","White",0.811902231668438
"231","060750213001","1","White",0.766211604095563
"232","060750213002","1","White",0.835625859697387
"233","060750214001","1","White",0.90375
"234","060750214002","1","White",0.729323308270677
"235","060750214003","1","White",0.768999247554552
"236","060750215001","1","White",0.879641485275288
"237","060750215002","1","White",0.650401069518717
"238","060750215003","1","White",0.675141242937853
"239","060750215004","1","White",0.838862559241706
"240","060750215005","1","White",0.922832980972516
"241","060750216001","1","White",0.772749875683739
"242","060750216002","1","White",0.443631669535284
"243","060750217001","1","White",0.650082918739635
"244","060750217002","1","White",0.750865051903114
"245","060750217003","1","White",0.514851485148515
"246","060750218001","1","White",0.834441980783444
"247","060750218002","1","White",0.748079877112135
"248","060750218003","1","White",0.736559139784946
"249","060750218004","1","White",0.799761620977354
"250","060750226001","1","White",0.677469135802469
"251","060750226002","1","White",0.579638752052545
"252","060750227021","1","White",0.767527675276753
"253","060750227022","1","White",0.726114649681529
"254","060750227041","1","White",0.676592224979322
"255","060750227042","1","White",0.775771971496437
"256","060750228011","1","White",0.568702290076336
"257","060750228012","1","White",0.58428338762215
"258","060750228013","1","White",0.735849056603774
"259","060750228021","1","White",0.758508914100486
"260","060750228022","1","White",0.449157829070493
"261","060750228031","1","White",0.507448789571695
"262","060750228032","1","White",0.670090634441088
"263","060750228033","1","White",0.666370896184561
"264","060750229011","1","White",0.425015556938395
"265","060750229012","1","White",0.348849945235487
"266","060750229013","1","White",0.792583280955374
"267","060750229021","1","White",0.682774746687451
"268","060750229022","1","White",0.644859813084112
"269","060750229031","1","White",0.568952524491334
"270","060750229032","1","White",0.556521739130435
"271","060750229033","1","White",0.482993197278912
"272","060750230011","1","White",0.231325301204819
"273","060750230012","1","White",0.192223037417461
"274","060750230013","1","White",0.0623620309050773
"275","060750230031","1","White",0.157454436809083
"276","060750230032","1","White",0.128180039138943
"277","060750231021","1","White",0.0932417780990242
"278","060750231022","1","White",0.0970042796005706
"279","060750231031","1","White",0
"280","060750231032","1","White",0.150828952689042
"281","060750232001","1","White",0.310934636530238
"282","060750232002","1","White",0.357312252964427
"283","060750232003","1","White",0.103740296400847
"284","060750233001","1","White",0.146718146718147
"285","060750234001","1","White",0.113312202852615
"286","060750234002","1","White",0.132129667624128
"287","060750251001","1","White",0.788399570354458
"288","060750251002","1","White",0.521739130434783
"289","060750251003","1","White",0.518258426966292
"290","060750252001","1","White",0.505628976994616
"291","060750252002","1","White",0.798640611724724
"292","060750252003","1","White",0.687755102040816
"293","060750252004","1","White",0.71112865035517
"294","060750253001","1","White",0.781478472786353
"295","060750253002","1","White",0.829230769230769
"296","060750253003","1","White",0.505836575875486
"297","060750253004","1","White",0.566058595909342
"298","060750254011","1","White",0.49255751014885
"299","060750254012","1","White",0.625256673511294
"300","060750254013","1","White",0.467185761957731
"301","060750254021","1","White",0.516793893129771
"302","060750254022","1","White",0.667963683527886
"303","060750254023","1","White",0.509950248756219
"304","060750254031","1","White",0.654424040066778
"305","060750254032","1","White",0.292414803957494
"306","060750255001","1","White",0.645004849660524
"307","060750255002","1","White",0.286407766990291
"308","060750255003","1","White",0.358016304347826
"309","060750255004","1","White",0.371189024390244
"310","060750255005","1","White",0.264126149802891
"311","060750255006","1","White",0.288742345737164
"312","060750256001","1","White",0.226424361493124
"313","060750256002","1","White",0.279855247285887
"314","060750256003","1","White",0.394129979035639
"315","060750256004","1","White",0.277430358158044
"316","060750257011","1","White",0.0849056603773585
"317","060750257012","1","White",0.437470943747094
"318","060750257013","1","White",0.320719016083254
"319","060750257021","1","White",0.219512195121951
"320","060750257022","1","White",0.224844720496894
"321","060750257023","1","White",0.140988372093023
"322","060750258001","1","White",0.224758560140474
"323","060750258002","1","White",0.280701754385965
"324","060750259001","1","White",0.287712287712288
"325","060750259002","1","White",0.275601374570447
"326","060750259003","1","White",0.189239332096475
"327","060750260011","1","White",0.359048305695746
"328","060750260012","1","White",0.287958115183246
"329","060750260021","1","White",0.303948080043267
"330","060750260022","1","White",0.442352941176471
"331","060750260031","1","White",0.297231270358306
"332","060750260032","1","White",0.400605831124574
"333","060750260041","1","White",0.472812234494478
"334","060750260042","1","White",0.227430555555556
"335","060750261001","1","White",0.186915887850467
"336","060750261002","1","White",0.241508025382605
"337","060750261003","1","White",0.148837209302326
"338","060750261004","1","White",0.51294343240652
"339","060750262001","1","White",0.344
"340","060750262002","1","White",0.198621553884712
"341","060750262003","1","White",0.190993788819876
