GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars)
1400000US06075016802,06075016802,"Census Tract 168.02, San Francisco County, California",72941,14201
1400000US06075016900,06075016900,"Census Tract 169, San Francisco County, California",66682,6828
1400000US06075017000,06075017000,"Census Tract 170, San Francisco County, California",89270,11740
1400000US06075017101,06075017101,"Census Tract 171.01, San Francisco County, California",90004,11801
1400000US06075017102,06075017102,"Census Tract 171.02, San Francisco County, California",73930,9133
1400000US06075017601,06075017601,"Census Tract 176.01, San Francisco County, California",36659,9160
1400000US06075017700,06075017700,"Census Tract 177, San Francisco County, California",50943,9947
1400000US06075017801,06075017801,"Census Tract 178.01, San Francisco County, California",44642,8508
1400000US06075017802,06075017802,"Census Tract 178.02, San Francisco County, California",46709,9001
1400000US06075017902,06075017902,"Census Tract 179.02, San Francisco County, California",14101,2715
1400000US06075018000,06075018000,"Census Tract 180, San Francisco County, California",64052,11611
1400000US06075020100,06075020100,"Census Tract 201, San Francisco County, California",37521,5825
1400000US06075020200,06075020200,"Census Tract 202, San Francisco County, California",47892,4907
1400000US06075020300,06075020300,"Census Tract 203, San Francisco County, California",65513,6620
1400000US06075020401,06075020401,"Census Tract 204.01, San Francisco County, California",97548,12400
1400000US06075020402,06075020402,"Census Tract 204.02, San Francisco County, California",70371,9716
1400000US06075020500,06075020500,"Census Tract 205, San Francisco County, California",84727,14899
1400000US06075020600,06075020600,"Census Tract 206, San Francisco County, California",102669,16312
1400000US06075020700,06075020700,"Census Tract 207, San Francisco County, California",88931,11504
1400000US06075020800,06075020800,"Census Tract 208, San Francisco County, California",43870,9128
1400000US06075020900,06075020900,"Census Tract 209, San Francisco County, California",31104,3947
1400000US06075021000,06075021000,"Census Tract 210, San Francisco County, California",73520,10048
1400000US06075021100,06075021100,"Census Tract 211, San Francisco County, California",88799,10637
1400000US06075021200,06075021200,"Census Tract 212, San Francisco County, California",81437,12132
1400000US06075021300,06075021300,"Census Tract 213, San Francisco County, California",89820,13540
1400000US06075021400,06075021400,"Census Tract 214, San Francisco County, California",83119,8439
1400000US06075021500,06075021500,"Census Tract 215, San Francisco County, California",64537,7336
1400000US06075021600,06075021600,"Census Tract 216, San Francisco County, California",70927,11388
1400000US06075021700,06075021700,"Census Tract 217, San Francisco County, California",63093,8254
1400000US06075021800,06075021800,"Census Tract 218, San Francisco County, California",69383,6697
1400000US06075022600,06075022600,"Census Tract 226, San Francisco County, California",96682,13619
